address_1,address_1,store,dateofissue,rating,review
남구,대학로94번길,가무댕댕,2019.08.25,4.0,학교 다닐때 부터 먹었던 가무댕댕돈까스. 식당 분위기도 맛도 그 모습 그대로 변함없이 여전히 맛있는 맛집이네요. 다만 후식 디저트가 사라진게 너무너무 아쉬운 것 같아요.
남구,대학로94번길,가무댕댕,2019.08.08,5.0,15년동안 꾸준히 가는 곳! 맛있어요
남구,대학로94번길,가무댕댕,2019.05.24,5.0,추억의 맛
남구,왕생로100번길,고빈정 물회,2021.09.17,5.0,.
남구,왕생로100번길,고빈정 물회,2021.08.12,4.5,맛있어요. 반찬도깔끔하게잘나와요. 같이나오는국도맛있어요.
남구,왕생로100번길,고빈정 물회,2021.08.11,5.0,굿~
남구,왕생로100번길,고빈정 물회,2021.08.06,4.5,겨울이도 맛있네요.
남구,왕생로100번길,고빈정 물회,2021.08.05,5.0,^^
남구,왕생로100번길,고빈정 물회,2021.08.02,4.5,오늘도 잘먹고 갑니다
남구,왕생로100번길,고빈정 물회,2021.07.31,4.0,단골
남구,왕생로100번길,고빈정 물회,2021.07.12,3.5,좋아요
남구,왕생로100번길,고빈정 물회,2021.07.08,4.5,ㄷ
남구,왕생로100번길,고빈정 물회,2021.06.29,5.0,좋아요
남구,화합로,다미헌,2020.10.14,4.5,ᆢ
남구,화합로,다미헌,2020.06.17,4.5,"점심특선으로 먹었어요. 양도 푸짐하고 맛도 좋았어요 사진에 나온 음식만큼 세번정도에 걸쳐 나왔고, 후식도 있었어요 다만 음식이 한번에 나와서 뭐 부터 먹어야하나 했네요 가격대비 추천합니다"
남구,화합로,다미헌,2020.05.22,4.5,일식 코스 요리들 하나하나 맛있어요
남구,화합로,다미헌,2020.05.07,4.0,조용히 사람 만날 일이 있을 때 가기 좋은 곳 가성비로 가기보다는 장소가 중요할 때 선택하기 좋은 곳
남구,화합로,다미헌,2018.12.01,2.5,별로였어요
남구,왕생로,도동참숯화로,2021.10.03,5.0,고기가 두툼하고 정말 맛있어요! 숯불 화력이 엄청나게 세네요~ 테이블마다 칸막이가 되어있어 프라이빗하고 마지막 돌판된장찌개는 별미!! 꼭드세요! 소고기 돼지고기 같이 먹을수있는 곳이라 더 좋네요~
남구,왕생로,도동참숯화로,2021.10.02,5.0,"처음 가 본 도동 참숯화로 고기 퀄리티가 정말 좋아요👍🏻 기본 상차림 메뉴도 깔 끔하고, 함께 나온 초밥이 정말 맛있었습니다. 😄 식사 메뉴로 주문했던 된장짜 글이 정말 강력추천하고싶어요!!!"
남구,왕생로,도동참숯화로,2021.09.23,5.0,고기 엄청 꼬소하고 진짜 맛있어요!! 한우대패 의외로 찐맛이라 혼자 5인분 흡입할 수 있을 듯 ㅎㅎ 사장님도 엄청 친절해요!!
남구,왕생로,도동참숯화로,2021.09.23,4.0,신선하고 좋아요
남구,왕생로,도동참숯화로,2021.09.10,5.0,여기 주차장도 있고 회식 장소로 딱이에요 👍🏻👍🏻 사장님 완전 친절하시고 알바생도 좋아요 :) 맛은 말해뭐해 고기 두툼한게 넘 맛있고 된장 짜글이 꼭드세요 사리추가 무조건입니다.❤️
남구,왕생로,도동참숯화로,2021.07.24,5.0,고기 진짜 연하고 직원분들 친절하시고 로봇서빙도 재밌었어요!♡ 밥맛없는 우리 아이가 여기서 오늘 입맛을 찾았어요 감사합니다
남구,왕생로,도동참숯화로,2021.07.22,5.0,자주 가는집입니다 맛있네요 매번^^
남구,왕생로,도동참숯화로,2021.06.17,4.0,좋아요
남구,왕생로,도동참숯화로,2021.04.26,5.0,등심대패라 고기가 빨리빨리 익어서 좋았고 야들하니 맛있었어요! 특선에 포함돼있는 짜글이찌개도 존맛!!
남구,왕생로,도동참숯화로,2021.04.20,5.0,완전 잘먹고 왔습니다!! 등심을 대패로 먹어도 매력있는 맛이더라구요! 육회도 맛있었습니다!
남구,산업로,삿뽀로울산점(주)엔타스,2021.10.19,5.0,오랜만에 방문했는데 역쉬나~~ 친절하고 역쉬나 음식이 맛있어요 나오는 음식 들 다 정갈하고 세세하게 신경써주시니 마음까지 따뜻하게 잘 대접 받고 갑니다 서빙하시는 분들 친절하고 생일이라 받은 회케이크와 미역국 밥상은 감...
남구,산업로,삿뽀로울산점(주)엔타스,2021.10.17,5.0,음식도 맛있고 직원뷴들도 친절하세여❤️
남구,산업로,삿뽀로울산점(주)엔타스,2021.10.17,5.0,생일에 갔는데 친절하시고 너무 좋았어요!!!!!!!
남구,산업로,삿뽀로울산점(주)엔타스,2021.10.17,5.0,너무 맛있게 잘먹었어요! 생일이라고 생일상도 차려주시고 너무 감사했어요!
남구,산업로,삿뽀로울산점(주)엔타스,2021.10.16,3.0,사케는 비싸요 회는 두툼해요
남구,산업로,삿뽀로울산점(주)엔타스,2021.10.09,5.0,부모님 모시고 너무 좋은 시간 보내고 왔어요 친절하세요 ㅎㅎ!!
